transaction_id,customer_id,product,category,amount,cost,profit,quantity,discount,transaction_date
TXN0034,CUST004,Custom Training Workshop,Services,6375.0,3600,2775.0,3,0.15,2026-05-21
TXN0035,CUST004,Developer Laptop,Hardware,7600.0,5200,2400.0,4,0.05,2026-02-27
TXN0036,CUST004,Smart Gateway,Hardware,427.5,250,177.5,1,0.05,2025-12-19
TXN0037,CUST004,Edge Server,Hardware,3500.0,2200,1300.0,1,0.0,2026-06-05
TXN0038,CUST004,Custom Training Workshop,Services,2125.0,1200,925.0,1,0.15,2026-03-14
TXN0039,CUST004,Cloud Migration Consultation,Services,5000.0,3000,2000.0,1,0.0,2026-02-05
TXN0040,CUST004,Analytics Engine,Software,2700.0,600,2100.0,2,0.1,2026-04-03
TXN0041,CUST005,Smart Gateway,Hardware,812.25,500,312.25,2,0.05,2025-11-05
TXN0042,CUST005,Edge Server,Hardware,2660.0,2200,460.0,1,0.2,2025-03-15
TXN0043,CUST005,Collaboration Tool,Software,242.25,50,192.25,1,0.15,2025-09-15
TXN0044,CUST005,Cloud Migration Consultation,Services,4512.5,3000,1512.5,1,0.05,2024-10-26
TXN0045,CUST005,Collaboration Tool,Software,570.0,100,470.0,2,0.0,2025-03-18
TXN0046,CUST005,Cloud Migration Consultation,Services,12112.5,9000,3112.5,3,0.15,2025-11-22
TXN0047,CUST005,Developer Laptop,Hardware,3230.0,2600,630.0,2,0.15,2026-04-10
TXN0048,CUST005,Cloud Migration Consultation,Services,9500.0,6000,3500.0,2,0.0,2026-02-22
TXN0049,CUST005,Cloud Platform,Software,1140.0,200,940.0,1,0.0,2025-08-01
TXN0050,CUST005,Edge Server,Hardware,5652.5,4400,1252.5,2,0.15,2025-01-21
TXN0051,CUST005,Edge Server,Hardware,3325.0,2200,1125.0,1,0.0,2024-11-27
TXN0052,CUST005,Collaboration Tool,Software,256.5,50,206.5,1,0.1,2025-03-09
TXN0053,CUST005,Cloud Platform,Software,2280.0,400,1880.0,2,0.0,2025-04-03
TXN0054,CUST005,Smart Gateway,Hardware,427.5,250,177.5,1,0.0,2025-06-14
TXN0055,CUST005,Developer Laptop,Hardware,3230.0,2600,630.0,2,0.15,2025-06-28
TXN0056,CUST006,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.0,2025-03-29
TXN0057,CUST006,Enterprise Support (Annual),Services,15200.0,9000,6200.0,2,0.0,2025-05-27
TXN0058,CUST006,Developer Laptop,Hardware,1900.0,1300,600.0,1,0.0,2025-02-19
TXN0059,CUST006,Security Suite,Software,760.0,150,610.0,1,0.0,2025-10-15
TXN0060,CUST006,Enterprise Support (Annual),Services,6840.0,4500,2340.0,1,0.1,2025-04-06
TXN0061,CUST006,Edge Server,Hardware,3158.75,2200,958.75,1,0.05,2025-07-18
TXN0062,CUST006,Custom Training Workshop,Services,2018.75,1200,818.75,1,0.15,2024-07-28
TXN0063,CUST006,Analytics Engine,Software,1425.0,300,1125.0,1,0.0,2025-03-28
TXN0064,CUST006,Custom Training Workshop,Services,4512.5,2400,2112.5,2,0.05,2025-02-19
TXN0065,CUST006,Cloud Migration Consultation,Services,18050.0,12000,6050.0,4,0.05,2024-10-26
TXN0066,CUST007,Edge Server,Hardware,9450.0,6600,2850.0,3,0.0,2026-06-25
TXN0067,CUST007,Smart Gateway,Hardware,405.0,250,155.0,1,0.0,2025-02-05
TXN0068,CUST007,Smart Gateway,Hardware,729.0,500,229.0,2,0.1,2025-10-13
TXN0069,CUST007,Developer Laptop,Hardware,6480.0,5200,1280.0,4,0.1,2024-12-28
TXN0070,CUST007,Security Suite,Software,1224.0,300,924.0,2,0.15,2025-08-01
TXN0071,CUST007,Enterprise Support (Annual),Services,86400.0,54000,32400.0,12,0.0,2026-04-20
TXN0072,CUST007,Edge Server,Hardware,3150.0,2200,950.0,1,0.0,2026-06-27
TXN0073,CUST008,Enterprise Support (Annual),Services,7200.0,4500,2700.0,1,0.1,2026-05-03
TXN0074,CUST008,Security Suite,Software,760.0,150,610.0,1,0.05,2025-10-22
TXN0075,CUST008,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2026-01-27
TXN0076,CUST008,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2026-06-10
TXN0077,CUST008,Cloud Platform,Software,1200.0,200,1000.0,1,0.0,2025-06-25
TXN0078,CUST008,Security Suite,Software,800.0,150,650.0,1,0.0,2025-06-03
TXN0079,CUST008,Custom Training Workshop,Services,2250.0,1200,1050.0,1,0.1,2026-04-30
TXN0080,CUST008,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2025-07-03
TXN0081,CUST008,Edge Server,Hardware,7000.0,4400,2600.0,2,0.0,2025-11-09
TXN0082,CUST008,Analytics Engine,Software,1425.0,300,1125.0,1,0.05,2025-11-28
TXN0083,CUST008,Enterprise Support (Annual),Services,8000.0,4500,3500.0,1,0.0,2026-01-18
TXN0084,CUST008,Edge Server,Hardware,6650.0,4400,2250.0,2,0.05,2025-06-16
TXN0085,CUST008,Cloud Platform,Software,2400.0,400,2000.0,2,0.0,2026-02-14
TXN0086,CUST009,Cloud Platform,Software,9720.0,1800,7920.0,9,0.0,2026-05-28
TXN0087,CUST009,Analytics Engine,Software,8100.0,1800,6300.0,6,0.0,2025-06-05
TXN0088,CUST009,Analytics Engine,Software,2565.0,600,1965.0,2,0.05,2025-03-24
TXN0089,CUST009,Cloud Platform,Software,1026.0,200,826.0,1,0.05,2024-11-22
TXN0090,CUST009,Analytics Engine,Software,4050.0,900,3150.0,3,0.0,2024-11-12
TXN0091,CUST010,Collaboration Tool,Software,300.0,50,250.0,1,0.0,2026-03-20
TXN0092,CUST010,Collaboration Tool,Software,255.0,50,205.0,1,0.15,2025-10-15
TXN0093,CUST010,Custom Training Workshop,Services,2500.0,1200,1300.0,1,0.0,2024-03-31
TXN0094,CUST010,Collaboration Tool,Software,900.0,150,750.0,3,0.0,2024-03-18
TXN0095,CUST011,Enterprise Support (Annual),Services,8000.0,4500,3500.0,1,0.0,2025-08-28
TXN0096,CUST011,Cloud Platform,Software,1140.0,200,940.0,1,0.05,2025-12-26
TXN0097,CUST011,Custom Training Workshop,Services,2000.0,1200,800.0,1,0.2,2025-12-03
TXN0098,CUST011,Developer Laptop,Hardware,2000.0,1300,700.0,1,0.0,2025-10-08
TXN0099,CUST012,Custom Training Workshop,Services,7125.0,3600,3525.0,3,0.05,2025-05-05
TXN0100,CUST012,Developer Laptop,Hardware,6000.0,3900,2100.0,3,0.0,2025-08-16
TXN0101,CUST012,Developer Laptop,Hardware,4000.0,2600,1400.0,2,0.0,2026-04-17
TXN0102,CUST012,Enterprise Support (Annual),Services,8000.0,4500,3500.0,1,0.0,2025-11-24
TXN0103,CUST012,Cloud Platform,Software,3600.0,600,3000.0,3,0.0,2026-05-08
TXN0104,CUST012,Custom Training Workshop,Services,2500.0,1200,1300.0,1,0.0,2025-04-16
TXN0105,CUST012,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.05,2025-03-10
TXN0106,CUST012,Smart Gateway,Hardware,1800.0,1000,800.0,4,0.0,2026-03-04
TXN0107,CUST012,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2025-03-01
TXN0108,CUST012,Security Suite,Software,1600.0,300,1300.0,2,0.0,2026-06-11
TXN0109,CUST012,Smart Gateway,Hardware,405.0,250,155.0,1,0.1,2025-04-28
TXN0110,CUST012,Smart Gateway,Hardware,2025.0,1250,775.0,5,0.1,2025-08-27
TXN0111,CUST012,Custom Training Workshop,Services,7500.0,3600,3900.0,3,0.0,2025-02-03
TXN0112,CUST012,Smart Gateway,Hardware,765.0,500,265.0,2,0.15,2025-07-11
TXN0113,CUST012,Security Suite,Software,2280.0,450,1830.0,3,0.05,2026-01-02
TXN0114,CUST013,Cloud Platform,Software,1083.0,200,883.0,1,0.05,2024-12-10
TXN0115,CUST013,Developer Laptop,Hardware,1900.0,1300,600.0,1,0.0,2025-10-20
TXN0116,CUST013,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.0,2025-08-28
TXN0117,CUST013,Cloud Migration Consultation,Services,9500.0,6000,3500.0,2,0.0,2025-03-10
TXN0118,CUST013,Smart Gateway,Hardware,427.5,250,177.5,1,0.0,2025-12-08
TXN0119,CUST013,Analytics Engine,Software,1425.0,300,1125.0,1,0.0,2026-03-08
TXN0120,CUST013,Smart Gateway,Hardware,855.0,500,355.0,2,0.0,2026-05-30
TXN0121,CUST013,Cloud Migration Consultation,Services,4750.0,3000,1750.0,1,0.0,2025-11-08
TXN0122,CUST013,Analytics Engine,Software,1425.0,300,1125.0,1,0.0,2025-05-04
TXN0123,CUST014,Security Suite,Software,720.0,150,570.0,1,0.1,2025-11-21
TXN0124,CUST014,Custom Training Workshop,Services,7500.0,3600,3900.0,3,0.0,2026-02-01
TXN0125,CUST014,Edge Server,Hardware,3500.0,2200,1300.0,1,0.0,2024-10-20
TXN0126,CUST014,Enterprise Support (Annual),Services,7200.0,4500,2700.0,1,0.1,2025-07-24
TXN0127,CUST014,Edge Server,Hardware,2800.0,2200,600.0,1,0.2,2025-11-08
TXN0128,CUST014,Enterprise Support (Annual),Services,20400.0,13500,6900.0,3,0.15,2025-03-01
TXN0129,CUST014,Edge Server,Hardware,3325.0,2200,1125.0,1,0.05,2024-12-06
TXN0130,CUST014,Collaboration Tool,Software,810.0,150,660.0,3,0.1,2026-02-25
TXN0131,CUST014,Edge Server,Hardware,3325.0,2200,1125.0,1,0.05,2025-04-21
TXN0132,CUST014,Cloud Migration Consultation,Services,20000.0,12000,8000.0,4,0.0,2026-03-04
TXN0133,CUST015,Cloud Platform,Software,1140.0,200,940.0,1,0.0,2025-12-31
TXN0134,CUST015,Cloud Migration Consultation,Services,4275.0,3000,1275.0,1,0.1,2026-01-03
TXN0135,CUST015,Smart Gateway,Hardware,855.0,500,355.0,2,0.0,2026-06-26
TXN0136,CUST015,Enterprise Support (Annual),Services,7600.0,4500,3100.0,1,0.0,2026-03-31
TXN0137,CUST015,Enterprise Support (Annual),Services,14440.0,9000,5440.0,2,0.05,2026-05-31
TXN0138,CUST015,Cloud Migration Consultation,Services,4750.0,3000,1750.0,1,0.0,2026-04-15
TXN0139,CUST015,Developer Laptop,Hardware,1615.0,1300,315.0,1,0.15,2025-11-15
TXN0140,CUST015,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.0,2025-12-02
TXN0141,CUST015,Smart Gateway,Hardware,855.0,500,355.0,2,0.0,2025-11-07
TXN0142,CUST015,Cloud Migration Consultation,Services,19000.0,12000,7000.0,4,0.0,2026-06-17
TXN0143,CUST015,Cloud Migration Consultation,Services,4750.0,3000,1750.0,1,0.0,2026-04-10
TXN0144,CUST015,Enterprise Support (Annual),Services,36100.0,22500,13600.0,5,0.05,2026-02-20
TXN0145,CUST015,Developer Laptop,Hardware,7600.0,5200,2400.0,4,0.0,2026-01-06
TXN0146,CUST015,Custom Training Workshop,Services,2256.25,1200,1056.25,1,0.05,2026-04-08
TXN0147,CUST016,Edge Server,Hardware,3500.0,2200,1300.0,1,0.0,2024-05-04
TXN0148,CUST016,Custom Training Workshop,Services,9500.0,4800,4700.0,4,0.05,2024-11-11
TXN0149,CUST016,Edge Server,Hardware,3500.0,2200,1300.0,1,0.0,2024-07-29
TXN0150,CUST016,Smart Gateway,Hardware,900.0,500,400.0,2,0.0,2025-02-19
TXN0151,CUST016,Cloud Migration Consultation,Services,5000.0,3000,2000.0,1,0.0,2025-10-28
TXN0152,CUST016,Edge Server,Hardware,6300.0,4400,1900.0,2,0.1,2026-05-17
TXN0153,CUST016,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.05,2026-03-24
TXN0154,CUST016,Edge Server,Hardware,3500.0,2200,1300.0,1,0.0,2025-07-31
TXN0155,CUST017,Edge Server,Hardware,3325.0,2200,1125.0,1,0.0,2025-02-20
TXN0156,CUST017,Edge Server,Hardware,3158.75,2200,958.75,1,0.05,2024-05-26
TXN0157,CUST017,Cloud Migration Consultation,Services,8075.0,6000,2075.0,2,0.15,2026-04-03
TXN0158,CUST017,Collaboration Tool,Software,285.0,50,235.0,1,0.0,2025-11-30
TXN0159,CUST017,Cloud Migration Consultation,Services,9500.0,6000,3500.0,2,0.0,2026-02-15
TXN0160,CUST017,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.0,2025-03-16
TXN0161,CUST018,Enterprise Support (Annual),Services,7600.0,4500,3100.0,1,0.0,2026-06-15
TXN0162,CUST018,Analytics Engine,Software,2707.5,600,2107.5,2,0.05,2026-01-21
TXN0163,CUST018,Developer Laptop,Hardware,3610.0,2600,1010.0,2,0.05,2026-01-06
TXN0164,CUST018,Security Suite,Software,2280.0,450,1830.0,3,0.0,2025-12-26
TXN0165,CUST018,Collaboration Tool,Software,812.25,150,662.25,3,0.05,2025-10-01
TXN0166,CUST018,Custom Training Workshop,Services,7125.0,3600,3525.0,3,0.0,2025-07-17
TXN0167,CUST018,Analytics Engine,Software,1353.75,300,1053.75,1,0.05,2026-06-20
TXN0168,CUST019,Collaboration Tool,Software,726.75,150,576.75,3,0.15,2024-12-11
TXN0169,CUST019,Collaboration Tool,Software,285.0,50,235.0,1,0.0,2025-11-07
TXN0170,CUST019,Edge Server,Hardware,2826.25,2200,626.25,1,0.15,2024-12-01
TXN0171,CUST019,Security Suite,Software,646.0,150,496.0,1,0.15,2025-08-18
TXN0172,CUST019,Cloud Migration Consultation,Services,9500.0,6000,3500.0,2,0.0,2026-01-05
TXN0173,CUST019,Cloud Platform,Software,1140.0,200,940.0,1,0.0,2026-06-01
TXN0174,CUST019,Custom Training Workshop,Services,4750.0,2400,2350.0,2,0.0,2025-02-09
TXN0175,CUST019,Analytics Engine,Software,1425.0,300,1125.0,1,0.0,2025-07-01
TXN0176,CUST019,Enterprise Support (Annual),Services,6840.0,4500,2340.0,1,0.1,2026-06-25
TXN0177,CUST020,Cloud Migration Consultation,Services,9500.0,6000,3500.0,2,0.05,2026-01-13
TXN0178,CUST020,Analytics Engine,Software,1425.0,300,1125.0,1,0.05,2026-03-16
TXN0179,CUST020,Enterprise Support (Annual),Services,7600.0,4500,3100.0,1,0.05,2025-07-15
TXN0180,CUST020,Edge Server,Hardware,13300.0,8800,4500.0,4,0.05,2025-12-07
TXN0181,CUST020,Custom Training Workshop,Services,2125.0,1200,925.0,1,0.15,2026-04-20
TXN0182,CUST020,Enterprise Support (Annual),Services,40000.0,22500,17500.0,5,0.0,2025-04-05
TXN0183,CUST020,Edge Server,Hardware,3150.0,2200,950.0,1,0.1,2025-03-22
TXN0184,CUST020,Analytics Engine,Software,1500.0,300,1200.0,1,0.0,2026-01-29
TXN0185,CUST020,Cloud Migration Consultation,Services,14250.0,9000,5250.0,3,0.05,2025-09-03
TXN0186,CUST020,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2026-03-05
TXN0187,CUST021,Analytics Engine,Software,1282.5,300,982.5,1,0.1,2025-09-01
TXN0188,CUST021,Developer Laptop,Hardware,1520.0,1300,220.0,1,0.2,2024-07-02
TXN0189,CUST021,Developer Laptop,Hardware,1805.0,1300,505.0,1,0.05,2025-11-28
TXN0190,CUST021,Edge Server,Hardware,9975.0,6600,3375.0,3,0.0,2025-03-09
TXN0191,CUST021,Developer Laptop,Hardware,5130.0,3900,1230.0,3,0.1,2024-09-25
TXN0192,CUST021,Edge Server,Hardware,3325.0,2200,1125.0,1,0.0,2025-06-20
TXN0193,CUST021,Edge Server,Hardware,6650.0,4400,2250.0,2,0.0,2025-11-03
TXN0194,CUST021,Analytics Engine,Software,1425.0,300,1125.0,1,0.0,2026-01-27
TXN0195,CUST021,Developer Laptop,Hardware,1710.0,1300,410.0,1,0.1,2026-03-28
TXN0196,CUST021,Enterprise Support (Annual),Services,7600.0,4500,3100.0,1,0.0,2024-11-07
TXN0197,CUST021,Enterprise Support (Annual),Services,6080.0,4500,1580.0,1,0.2,2025-05-17
TXN0198,CUST021,Collaboration Tool,Software,256.5,50,206.5,1,0.1,2024-07-18
TXN0199,CUST021,Cloud Platform,Software,1083.0,200,883.0,1,0.05,2026-04-16
TXN0200,CUST021,Security Suite,Software,684.0,150,534.0,1,0.1,2025-08-12
TXN0201,CUST022,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2025-04-27
TXN0202,CUST022,Developer Laptop,Hardware,2000.0,1300,700.0,1,0.0,2025-07-26
TXN0203,CUST022,Enterprise Support (Annual),Services,7600.0,4500,3100.0,1,0.05,2024-09-09
TXN0204,CUST022,Cloud Platform,Software,2400.0,400,2000.0,2,0.0,2025-01-02
TXN0205,CUST022,Cloud Migration Consultation,Services,5000.0,3000,2000.0,1,0.0,2025-05-23
TXN0206,CUST022,Analytics Engine,Software,2400.0,600,1800.0,2,0.2,2025-07-22
TXN0207,CUST022,Security Suite,Software,2400.0,450,1950.0,3,0.0,2024-11-12
TXN0208,CUST022,Edge Server,Hardware,8400.0,6600,1800.0,3,0.2,2026-04-22
TXN0209,CUST023,Cloud Migration Consultation,Services,5000.0,3000,2000.0,1,0.0,2026-01-19
TXN0210,CUST023,Security Suite,Software,1520.0,300,1220.0,2,0.05,2025-12-02
TXN0211,CUST023,Security Suite,Software,800.0,150,650.0,1,0.0,2025-06-02
TXN0212,CUST023,Custom Training Workshop,Services,2250.0,1200,1050.0,1,0.1,2026-02-02
TXN0213,CUST023,Cloud Migration Consultation,Services,5000.0,3000,2000.0,1,0.0,2025-06-10
TXN0214,CUST023,Enterprise Support (Annual),Services,14400.0,9000,5400.0,2,0.1,2026-06-03
TXN0215,CUST023,Analytics Engine,Software,3000.0,600,2400.0,2,0.0,2025-04-14
TXN0216,CUST023,Security Suite,Software,1600.0,300,1300.0,2,0.0,2026-01-16
TXN0217,CUST024,Security Suite,Software,800.0,150,650.0,1,0.0,2025-08-17
TXN0218,CUST024,Smart Gateway,Hardware,1215.0,750,465.0,3,0.1,2025-11-12
TXN0219,CUST024,Analytics Engine,Software,1500.0,300,1200.0,1,0.0,2025-11-25
TXN0220,CUST024,Security Suite,Software,760.0,150,610.0,1,0.05,2026-04-19
TXN0221,CUST024,Custom Training Workshop,Services,4750.0,2400,2350.0,2,0.05,2025-10-15
TXN0222,CUST024,Cloud Platform,Software,1020.0,200,820.0,1,0.15,2026-05-04
TXN0223,CUST024,Smart Gateway,Hardware,427.5,250,177.5,1,0.05,2026-05-11
TXN0224,CUST024,Cloud Migration Consultation,Services,4750.0,3000,1750.0,1,0.05,2026-06-01
TXN0225,CUST024,Enterprise Support (Annual),Services,7200.0,4500,2700.0,1,0.1,2025-12-15
TXN0226,CUST024,Developer Laptop,Hardware,2000.0,1300,700.0,1,0.0,2026-02-12
TXN0227,CUST024,Developer Laptop,Hardware,2000.0,1300,700.0,1,0.0,2026-03-02
TXN0228,CUST025,Enterprise Support (Annual),Services,13600.0,9000,4600.0,2,0.15,2025-10-30
TXN0229,CUST025,Analytics Engine,Software,1500.0,300,1200.0,1,0.0,2026-01-26
TXN0230,CUST025,Edge Server,Hardware,3500.0,2200,1300.0,1,0.0,2025-08-18
TXN0231,CUST025,Analytics Engine,Software,5100.0,1200,3900.0,4,0.15,2025-03-23
TXN0232,CUST025,Security Suite,Software,2040.0,450,1590.0,3,0.15,2026-02-15
TXN0233,CUST026,Security Suite,Software,2160.0,450,1710.0,3,0.0,2024-11-19
TXN0234,CUST026,Developer Laptop,Hardware,3420.0,2600,820.0,2,0.05,2026-06-22
TXN0235,CUST026,Analytics Engine,Software,2700.0,600,2100.0,2,0.0,2024-09-06
TXN0236,CUST026,Custom Training Workshop,Services,6750.0,3600,3150.0,3,0.0,2026-06-25
TXN0237,CUST026,Edge Server,Hardware,28350.0,19800,8550.0,9,0.0,2024-04-23
TXN0238,CUST026,Edge Server,Hardware,8977.5,6600,2377.5,3,0.05,2025-02-19
TXN0239,CUST026,Enterprise Support (Annual),Services,21600.0,13500,8100.0,3,0.0,2025-01-09
TXN0240,CUST026,Smart Gateway,Hardware,810.0,500,310.0,2,0.0,2025-07-20
TXN0241,CUST026,Developer Laptop,Hardware,6840.0,5200,1640.0,4,0.05,2024-04-12
TXN0242,CUST026,Security Suite,Software,2736.0,600,2136.0,4,0.05,2025-01-12
TXN0243,CUST026,Security Suite,Software,2736.0,600,2136.0,4,0.05,2024-02-19
TXN0244,CUST026,Custom Training Workshop,Services,6750.0,3600,3150.0,3,0.0,2024-06-04
TXN0245,CUST026,Custom Training Workshop,Services,20250.0,10800,9450.0,9,0.0,2025-02-09
TXN0246,CUST026,Custom Training Workshop,Services,6750.0,3600,3150.0,3,0.0,2026-05-01
TXN0247,CUST027,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2025-04-30
TXN0248,CUST027,Custom Training Workshop,Services,4750.0,2400,2350.0,2,0.05,2025-02-27
TXN0249,CUST027,Custom Training Workshop,Services,2250.0,1200,1050.0,1,0.1,2025-01-14
TXN0250,CUST028,Collaboration Tool,Software,810.0,150,660.0,3,0.0,2025-10-18
TXN0251,CUST028,Cloud Migration Consultation,Services,9000.0,6000,3000.0,2,0.0,2026-01-21
TXN0252,CUST028,Smart Gateway,Hardware,1093.5,750,343.5,3,0.1,2024-11-16
TXN0253,CUST028,Custom Training Workshop,Services,2137.5,1200,937.5,1,0.05,2025-10-09
TXN0254,CUST028,Smart Gateway,Hardware,810.0,500,310.0,2,0.0,2026-01-09
TXN0255,CUST028,Smart Gateway,Hardware,769.5,500,269.5,2,0.05,2024-12-08
TXN0256,CUST028,Custom Training Workshop,Services,12825.0,7200,5625.0,6,0.05,2026-06-22
TXN0257,CUST028,Analytics Engine,Software,1147.5,300,847.5,1,0.15,2024-12-27
TXN0258,CUST028,Smart Gateway,Hardware,1215.0,750,465.0,3,0.0,2025-04-14
TXN0259,CUST028,Smart Gateway,Hardware,4860.0,3000,1860.0,12,0.0,2025-10-18
TXN0260,CUST028,Custom Training Workshop,Services,4050.0,2400,1650.0,2,0.1,2024-10-16
TXN0261,CUST028,Edge Server,Hardware,9450.0,6600,2850.0,3,0.0,2024-11-10
TXN0262,CUST029,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2026-04-15
TXN0263,CUST029,Smart Gateway,Hardware,900.0,500,400.0,2,0.0,2026-02-14
TXN0264,CUST029,Custom Training Workshop,Services,2500.0,1200,1300.0,1,0.0,2026-03-26
TXN0265,CUST029,Security Suite,Software,800.0,150,650.0,1,0.0,2026-02-10
TXN0266,CUST029,Edge Server,Hardware,7000.0,4400,2600.0,2,0.0,2026-05-17
TXN0267,CUST029,Collaboration Tool,Software,510.0,100,410.0,2,0.15,2026-02-20
TXN0268,CUST029,Smart Gateway,Hardware,360.0,250,110.0,1,0.2,2026-01-13
TXN0269,CUST029,Smart Gateway,Hardware,405.0,250,155.0,1,0.1,2025-10-26
TXN0270,CUST029,Cloud Migration Consultation,Services,4500.0,3000,1500.0,1,0.1,2026-04-13
TXN0271,CUST029,Collaboration Tool,Software,900.0,150,750.0,3,0.0,2025-06-03
TXN0272,CUST030,Edge Server,Hardware,11200.0,8800,2400.0,4,0.2,2025-12-21
TXN0273,CUST030,Cloud Platform,Software,1140.0,200,940.0,1,0.05,2025-09-02
TXN0274,CUST030,Developer Laptop,Hardware,9500.0,6500,3000.0,5,0.05,2025-10-19
TXN0275,CUST031,Enterprise Support (Annual),Services,7200.0,4500,2700.0,1,0.1,2024-08-05
TXN0276,CUST031,Collaboration Tool,Software,540.0,100,440.0,2,0.1,2025-02-22
TXN0277,CUST031,Enterprise Support (Annual),Services,15200.0,9000,6200.0,2,0.05,2024-04-04
TXN0278,CUST031,Security Suite,Software,1520.0,300,1220.0,2,0.05,2026-05-05
TXN0279,CUST031,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2025-05-10
TXN0280,CUST031,Security Suite,Software,680.0,150,530.0,1,0.15,2024-06-26
TXN0281,CUST031,Developer Laptop,Hardware,1800.0,1300,500.0,1,0.1,2024-03-27
TXN0282,CUST031,Smart Gateway,Hardware,900.0,500,400.0,2,0.0,2025-02-21
TXN0283,CUST031,Smart Gateway,Hardware,427.5,250,177.5,1,0.05,2026-01-19
TXN0284,CUST031,Edge Server,Hardware,3325.0,2200,1125.0,1,0.05,2025-07-10
TXN0285,CUST032,Cloud Migration Consultation,Services,8500.0,6000,2500.0,2,0.15,2025-12-05
TXN0286,CUST032,Cloud Migration Consultation,Services,5000.0,3000,2000.0,1,0.0,2026-01-03
TXN0287,CUST032,Smart Gateway,Hardware,2250.0,1250,1000.0,5,0.0,2025-09-15
